gloss,precision,recall,f1-score,support
BYE,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,0.0
GO,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
GOOD,0.25,0.25,0.25,4.0
HELLO,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
KNOW,0.5555555555555556,0.5,0.5263157894736842,10.0
LOOK,0.2,0.16666666666666666,0.18181818181818182,6.0
READY,0.0,0.0,0.0,7.0
THINK,0.631578947368421,0.9230769230769231,0.75,13.0
TIME,0.8,0.8,0.8,10.0
WHAT,0.5,0.8333333333333334,0.625,6.0
YES,0.35714285714285715,0.38461538461538464,0.37037037037037035,13.0
micro avg,0.5,0.5487804878048781,0.5232558139534884,82.0
macro avg,0.3856342244500139,0.42464896214896214,0.39879630197612653,82.0
weighted avg,0.4911659229374249,0.5487804878048781,0.51190944034333,82.0
samples avg,0.524390243902439,0.5487804878048781,0.532520325203252,82.0
