clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_6_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.94) HELLO(0.92) BYE(0.84),HELLO,False
video_1_9_signer_HELLO_1,BYE HELLO EVERYONE RIGHT,BYE(0.97) HELLO(0.77) EVERYONE(0.65) RIGHT(0.51),HELLO,False
video_1_10_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.96) EVERYONE(0.95),HELLO,False
video_1_83_signer_HELLO_1,HELLO EVERYONE NS_POSSUM NS_SALLY BYE,HELLO(0.99) EVERYONE(0.84) NS_POSSUM(0.82) NS_SALLY(0.63) BYE(0.59),HELLO,False
video_2_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.97) EVERYONE(0.83),HELLO,False
video_2_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_2_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.99) EVERYONE(0.98),HELLO,False
video_3_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.95) HELLO(0.85) EVERYONE(0.46),HELLO,False
video_3_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(0.99) BYE(0.98) EVERYONE(0.97),HELLO,False
video_4_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.96) EVERYONE(0.81),HELLO,False
video_4_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_4_11_signer_HELLO_1,BYE HELLO LOOK GREAT EVERYONE,BYE(0.91) HELLO(0.87) LOOK(0.64) GREAT(0.53) EVERYONE(0.49),HELLO,False
video_5_0_signer_HELLO_1,BYE HELLO,BYE(0.95) HELLO(0.79),HELLO,False
video_5_5_signer_HELLO_1,BYE HELLO,BYE(1.00) HELLO(0.99),HELLO,False
video_5_6_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_5_7_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_5_17_signer_HELLO_1,HELLO,HELLO(0.46),HELLO,True
video_6_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.95) EVERYONE(0.87),HELLO,False
video_6_5_signer_HELLO_1,BYE HELLO,BYE(1.00) HELLO(0.99),HELLO,False
video_6_6_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(0.98) BYE(0.97) EVERYONE(0.96) NS_POSSUM(0.46),HELLO,False
video_6_12_signer_HELLO_1,HELLO EVERYONE BYE NS_SALLY,HELLO(1.00) EVERYONE(0.97) BYE(0.89) NS_SALLY(0.78),HELLO,False
video_6_38_signer_HELLO_1,HELLO BYE EVERYONE NS_SALLY NS_POSSUM,HELLO(1.00) BYE(0.93) EVERYONE(0.91) NS_SALLY(0.74) NS_POSSUM(0.50),HELLO,False
video_7_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.92) EVERYONE(0.78),HELLO,False
video_7_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_6_signer_HELLO_1,BYE HELLO EVERYONE,BYE(1.00) HELLO(0.99) EVERYONE(0.94),HELLO,False
video_7_18_signer_HELLO_1,BYE HELLO EVERYONE,BYE(1.00) HELLO(0.96) EVERYONE(0.84),HELLO,False
video_7_33_signer_HELLO_1,HELLO EVERYONE NS_SALLY NS_POSSUM,HELLO(0.98) EVERYONE(0.95) NS_SALLY(0.54) NS_POSSUM(0.54),HELLO,False
video_7_34_signer_HELLO_1,BYE HELLO RIGHT OKAY,BYE(0.95) HELLO(0.68) RIGHT(0.54) OKAY(0.49),HELLO,False
video_1_43_signer_READY_1,GREAT OKAY NS_SALLY OK WHAT PT_DEM3 WHERE YES RIGHT,GREAT(0.66) OKAY(0.66) NS_SALLY(0.65) OK(0.62) WHAT(0.59) PT_DEM3(0.58) WHERE(0.55) YES(0.52) RIGHT(0.50),READY,False
video_2_99_signer_READY_1,GREAT PT_LOC LOOK PT_DEM3 WHAT OKAY RIGHT NS_SALLY,GREAT(0.83) PT_LOC(0.77) LOOK(0.75) PT_DEM3(0.75) WHAT(0.70) OKAY(0.65) RIGHT(0.50) NS_SALLY(0.47),READY,False
video_3_101_signer_READY_1,GREAT OKAY OK WHAT PT_DEM3 RIGHT,GREAT(0.82) OKAY(0.67) OK(0.66) WHAT(0.65) PT_DEM3(0.64) RIGHT(0.53),READY,False
video_7_60_signer_READY_1,GREAT WHAT RIGHT YES PT_DEM3 OK NO WHERE GOOD OKAY,GREAT(0.80) WHAT(0.73) RIGHT(0.71) YES(0.69) PT_DEM3(0.67) OK(0.59) NO(0.56) WHERE(0.52) GOOD(0.52) OKAY(0.50),READY,False
video_7_104_signer_READY_1,GREAT WATCH OKAY,GREAT(0.76) WATCH(0.73) OKAY(0.56),READY,False
video_7_119_signer_READY_1,GREAT OKAY OK PT_DEM3 WHAT PT_LOC RIGHT LOOK YES,GREAT(0.79) OKAY(0.72) OK(0.67) PT_DEM3(0.63) WHAT(0.58) PT_LOC(0.55) RIGHT(0.54) LOOK(0.53) YES(0.46),READY,False
