gloss,precision,recall,f1-score,support
ALL,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BYE,0.006289308176100629,1.0,0.0125,1.0
CAN,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DRAW,0.0,0.0,0.0,0.0
EAT,0.0,0.0,0.0,0.0
EVERYONE,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,1.0
GET,0.0,0.0,0.0,0.0
GO,0.24324324324324326,0.5,0.32727272727272727,36.0
GOOD,0.16923076923076924,0.55,0.25882352941176473,20.0
GREAT,0.0,0.0,0.0,0.0
HAVE,0.0,0.0,0.0,0.0
HELLO,0.4307692307692308,0.9333333333333333,0.5894736842105263,30.0
HELP,0.0,0.0,0.0,0.0
HERE,0.0,0.0,0.0,0.0
HOW,0.0,0.0,0.0,0.0
INSIDE,0.0,0.0,0.0,0.0
KNOW,0.25925925925925924,0.1320754716981132,0.175,53.0
LEARN,0.0,0.0,0.0,0.0
LIKE,0.0,0.0,0.0,0.0
LOOK,0.09259259259259259,0.8064516129032258,0.16611295681063123,31.0
LOVE,0.0,0.0,0.0,0.0
LOVELY,0.0,0.0,0.0,0.0
MAKE,0.0,0.0,0.0,0.0
MANY,0.0,0.0,0.0,0.0
MORE,0.0,0.0,0.0,0.0
MUCH,0.0,0.0,0.0,0.0
NEED,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0
NOT,0.0,0.0,0.0,0.0
NOW,0.0,0.0,0.0,0.0
NS_POSSUM,0.0,0.0,0.0,0.0
NS_SALLY,0.0,0.0,0.0,0.0
NS_SKIP,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0
OKAY,0.0,0.0,0.0,0.0
ONE,0.0,0.0,0.0,0.0
PAPER,0.0,0.0,0.0,0.0
PLAY,0.0,0.0,0.0,0.0
PLEASE,0.0,0.0,0.0,0.0
PT_DEM3,0.0,0.0,0.0,0.0
PT_LOC,0.0,0.0,0.0,0.0
PT_POSS1,0.0,0.0,0.0,0.0
PT_POSS2,0.0,0.0,0.0,0.0
PT_PRO1,0.0,0.0,0.0,0.0
PT_PRO1PL,0.0,0.0,0.0,0.0
PT_PRO2,0.0,0.0,0.0,0.0
PT_PRO3,0.0,0.0,0.0,0.0
PT_PRO3PL,0.0,0.0,0.0,0.0
PUT,0.0,0.0,0.0,0.0
READY,0.0,0.0,0.0,36.0
RIGHT,0.0,0.0,0.0,0.0
SAME,0.0,0.0,0.0,0.0
SEE,0.0,0.0,0.0,0.0
SOMETHING,0.0,0.0,0.0,0.0
THANK-YOU,0.0,0.0,0.0,0.0
THAT,0.0,0.0,0.0,0.0
THEN,0.0,0.0,0.0,0.0
THING,0.0,0.0,0.0,0.0
THINK,0.0,0.0,0.0,69.0
TREE,0.0,0.0,0.0,0.0
TWO,0.0,0.0,0.0,0.0
USE,0.0,0.0,0.0,0.0
VERY,0.0,0.0,0.0,0.0
WAIT,0.0,0.0,0.0,0.0
WANT,0.0,0.0,0.0,0.0
WATCH,0.0,0.0,0.0,0.0
WATER,0.0,0.0,0.0,0.0
WELL,0.0,0.0,0.0,0.0
WHAT,0.19230769230769232,0.5882352941176471,0.2898550724637681,34.0
WHERE,0.0,0.0,0.0,0.0
WHY,0.0,0.0,0.0,0.0
WHY-NOT,0.0,0.0,0.0,0.0
WILL,0.0,0.0,0.0,0.0
YES,0.25206611570247933,0.9104477611940298,0.3948220064724919,67.0
micro avg,0.062001450326323426,0.4523809523809524,0.1090561224489796,378.0
macro avg,0.01982841218411286,0.06530775268971505,0.02667301176676999,378.0
weighted avg,0.1722453459636612,0.4523809523809524,0.22589324829344948,378.0
samples avg,0.07431581104703863,0.4523809523809524,0.12129198912578931,378.0
