gloss,precision,recall,f1-score,support
GO,0.5555555555555556,0.7142857142857143,0.625,14.0
GOOD,0.2857142857142857,0.2,0.23529411764705882,20.0
HELLO,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
KNOW,0.4117647058823529,0.7,0.5185185185185185,20.0
NON_DETECTION,0.2608695652173913,0.5714285714285714,0.3582089552238806,21.0
ONE,0.2857142857142857,0.18181818181818182,0.2222222222222222,22.0
READY,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
THINK,0.6,0.6923076923076923,0.6428571428571429,26.0
TIME,0.64,0.8,0.7111111111111111,20.0
WHAT,0.8,0.6666666666666666,0.7272727272727273,12.0
YES,0.4,0.38461538461538464,0.39215686274509803,26.0
micro avg,0.46332046332046334,0.5381165919282511,0.4979253112033195,223.0
macro avg,0.4929467360916911,0.5555565646474737,0.5112634989271685,223.0
weighted avg,0.4725345458866905,0.5381165919282511,0.4925340523994974,223.0
samples avg,0.48878923766816146,0.5381165919282511,0.5052316890881913,223.0
