epoch,train_loss,dev_loss,dev_f1_micro,dev_f1_macro
1,0.8477712100171774,0.7838538099418987,0.13974471830985916,0.042133461799817654
2,0.8123917620060808,0.7617788016796112,0.1428730141095434,0.04821095099866223
3,0.801105111332263,0.7662600522691553,0.14367269267364416,0.05095253167590181
4,0.7914338720551992,0.7498148462989114,0.1562336164412289,0.053757162078196266
5,0.7856828770731802,0.7536482187834653,0.1522079549013467,0.05325587661094638
6,0.7822820721036297,0.7418892519040541,0.15380255077940483,0.05808907867542297
7,0.7767505288797584,0.7486749481071125,0.16070513477503331,0.05771277166541748
8,0.7739007077311392,0.753422430970452,0.1571826502188619,0.061206846452252946
9,0.7696922263183162,0.7393981462175195,0.15633423180592992,0.060405172838282326
10,0.7671068463958589,0.7444629858840596,0.162720350474601,0.061145196449353185
11,0.7648755044250165,0.7344678423621438,0.16170925848345202,0.0657351132326345
12,0.7613875392803364,0.7400314103473317,0.16176176176176177,0.06220486534465811
13,0.7573788447231896,0.7434897233139385,0.1648941771085606,0.06512025171666036
14,0.7533257497569262,0.7493060393766924,0.15716069941715238,0.061778815494475045
15,0.7514145029971828,0.7301048663529482,0.15538417594972864,0.06492756621766885
16,0.7483100501325844,0.7383614724332636,0.16359743040685226,0.07016644822956618
17,0.7472776427107343,0.7459831237792969,0.16691505216095381,0.07719436215381252
18,0.7451249091638683,0.7428647686134685,0.15928849805136405,0.06991633218943319
19,0.7428533520738957,0.7529821043664758,0.16249197174052665,0.0728344032302114
20,0.7399596469213734,0.7292151207273657,0.1632862118418357,0.06932084256367917
21,0.7374367234902194,0.7494667660106312,0.16807081156020048,0.07389037188447069
22,0.7354854055717166,0.7500333000313152,0.159423318010865,0.07432967387814107
23,0.7340739515878386,0.7342671616510912,0.16555699095697107,0.07691010238938047
24,0.7317110965144162,0.7309313335201957,0.16460021478082593,0.07200841453794346
25,0.7287672953417073,0.7337503677064722,0.16122490367065503,0.07539212089121614
26,0.7269104919527883,0.75181137973612,0.15653944020356234,0.07113923632517781
27,0.7225398252912834,0.7434971576387231,0.15698738322257536,0.07608530392837176
28,0.719376486405141,0.7529031336307526,0.16091245376078914,0.08117409008935444
29,0.7177595186368221,0.7602191892537203,0.15985540716939453,0.08076878767854818
30,0.7148267244551815,0.7640386684374376,0.1610329624186437,0.07375257339364523
31,0.7123322700713314,0.7423064600337635,0.15453082094498627,0.07680136551090992
32,0.7113092016365569,0.7699006822976199,0.16140850803989415,0.07720693045185663
33,0.7064811147033832,0.765041624957865,0.16197998946814113,0.07984492089310853
34,0.707586821189708,0.7511051866141233,0.1575388132203067,0.07971806226426452
35,0.70375676057433,0.7623745636506514,0.16063303659742828,0.08020851529338592
36,0.7010694771668332,0.7780462991107594,0.1585555670851925,0.08100660099648804
37,0.6981351126385273,0.7828679978847504,0.16370033112582782,0.0830215274294769
38,0.6939939278162132,0.7782995484092019,0.16172726346878502,0.08132852661218556
39,0.6933455147312186,0.7768774682825262,0.16098254161591555,0.08730937375343521
40,0.6909166758006575,0.780784094875509,0.15746341463414634,0.08028205928194189
41,0.6877673382812974,0.7841355177489194,0.1574866579397845,0.08214553820530213
42,0.6877452425532422,0.7795857434922998,0.1602724631874186,0.08185005215520337
43,0.6838838397446325,0.788516188209707,0.16,0.08310103291513997
44,0.6824446440079791,0.790017924525521,0.15456534712552217,0.07885485825626158
45,0.6801028861164373,0.8014096834442832,0.16092424087516613,0.08413143050750607
46,0.6774270876316028,0.813577497547323,0.16216216216216217,0.08271691597424258
47,0.6738440037447181,0.805876842953942,0.15981317900294445,0.08304699948672895
48,0.6743047089226502,0.8082081485878337,0.1568784392196098,0.0814140172390959
49,0.6723642293679513,0.7993810745802793,0.1593423322845834,0.0822318332490417
50,0.6709021294521074,0.8103524121371183,0.1595370944410002,0.08034463682923806
51,0.6726754414664824,0.8024682321331718,0.15680384499849806,0.08161472450972176
52,0.6704681599039143,0.8047584945505316,0.15811793214862682,0.08188244771912781
53,0.6679055591424307,0.8159412904219194,0.1613473334026406,0.08470636745111855
54,0.6683458571380141,0.8116954158652913,0.1581214109926169,0.08218070729143279
55,0.6681938958538454,0.80868783864108,0.15845997973657547,0.0840438018940458
56,0.6658707151641954,0.8152540976350958,0.1598509162439176,0.08339938035287654
57,0.6648916740201961,0.8191000873392279,0.1597164303586322,0.08318879594150594
58,0.6647669954151757,0.8168453140692278,0.15975103734439833,0.0835029101195933
59,0.6649763351779873,0.8158732598478143,0.15928837401737692,0.08329092112594574
60,0.664851250958308,0.8158379982818257,0.15920603742375686,0.08339616814859352
