clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_6_signer_HELLO_1,HELLO,HELLO(0.93),HELLO,True
video_1_9_signer_HELLO_1,ONE,ONE(1.00),HELLO,False
video_5_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_6_38_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_34_signer_HELLO_1,NON_DETECTION,NON_DETECTION(1.00),HELLO,False
video_10_29_signer_READY_1,GOOD,GOOD(1.00),READY,False
video_2_127_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_11_67_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_13_154_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_14_131_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_18_167_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_35_160_signer_TIME_1,NON_DETECTION TIME,NON_DETECTION(0.88) TIME(0.75),TIME,False
video_38_138_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_7_28_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_12_53_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_15_84_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_19_24_signer_KNOW_1,ONE,ONE(1.00),KNOW,False
video_19_65_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_22_111_signer_KNOW_1,ONE,ONE(0.96),KNOW,False
video_23_30_signer_KNOW_1,ONE,ONE(1.00),KNOW,False
video_24_73_signer_KNOW_1,KNOW THINK,KNOW(0.99) THINK(0.49),KNOW,False
video_24_150_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_28_76_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_1_54_signer_YES_1,READY NON_DETECTION,READY(0.71) NON_DETECTION(0.61),YES,False
video_2_100_signer_YES_1,GOOD,GOOD(1.00),YES,False
video_2_118_signer_YES_1,,,YES,False
video_3_70_signer_YES_1,YES,YES(1.00),YES,True
video_3_82_signer_YES_1,GO,GO(0.47),YES,False
video_5_35_signer_YES_1,GOOD,GOOD(1.00),YES,False
video_6_92_signer_YES_1,YES,YES(1.00),YES,True
video_7_55_signer_YES_1,GOOD,GOOD(0.97),YES,False
video_10_30_signer_YES_1,YES WHAT,YES(0.94) WHAT(0.80),YES,False
video_10_49_signer_YES_1,YES ONE,YES(0.97) ONE(0.96),YES,False
video_10_61_signer_YES_1,YES,YES(1.00),YES,True
video_10_92_signer_YES_1,YES,YES(1.00),YES,True
video_13_109_signer_YES_1,GOOD,GOOD(0.98),YES,False
video_4_15_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_25_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_48_signer_THINK_1,KNOW GO ONE,KNOW(0.98) GO(0.78) ONE(0.53),THINK,False
video_12_68_signer_THINK_1,ONE THINK,ONE(0.96) THINK(0.92),THINK,False
video_18_47_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_18_154_signer_THINK_1,YES,YES(1.00),THINK,False
video_18_155_signer_THINK_1,GOOD,GOOD(1.00),THINK,False
video_19_171_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_19_175_signer_THINK_1,ONE THINK,ONE(0.92) THINK(0.42),THINK,False
video_20_109_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_24_81_signer_THINK_1,THINK KNOW,THINK(0.95) KNOW(0.91),THINK,False
video_24_140_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_32_43_signer_THINK_1,THINK KNOW,THINK(1.00) KNOW(0.59),THINK,False
video_2_18_signer_WHAT_1,NON_DETECTION YES,NON_DETECTION(0.98) YES(0.87),WHAT,False
video_5_55_signer_WHAT_1,WHAT,WHAT(0.98),WHAT,True
video_6_42_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_10_20_signer_WHAT_1,TIME,TIME(1.00),WHAT,False
video_10_51_signer_WHAT_1,YES,YES(1.00),WHAT,False
video_18_27_signer_WHAT_1,WHAT YES,WHAT(1.00) YES(0.37),WHAT,False
video_5_104_signer_GOOD_1,GOOD,GOOD(1.00),GOOD,True
video_7_45_signer_GOOD_1,NON_DETECTION GOOD YES,NON_DETECTION(0.59) GOOD(0.45) YES(0.40),GOOD,False
video_17_8_signer_GOOD_1,,,GOOD,False
video_41_206_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_42_139_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_44_48_signer_TIME_1,YES,YES(0.99),TIME,False
video_2_45_signer_GO_1,NON_DETECTION,NON_DETECTION(0.79),GO,False
video_2_106_signer_GO_1,GO,GO(1.00),GO,True
video_8_55_signer_GO_1,NON_DETECTION,NON_DETECTION(0.97),GO,False
video_12_8_signer_GO_1,NON_DETECTION GO,NON_DETECTION(0.97) GO(0.62),GO,False
video_12_29_signer_GO_1,ONE,ONE(1.00),GO,False
video_16_9_signer_GO_1,GO,GO(0.42),GO,True
video_17_13_signer_GO_1,WHAT READY,WHAT(0.99) READY(0.95),GO,False
video_15_105_signer_READY_1,NON_DETECTION,NON_DETECTION(1.00),READY,False
