clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_6_signer_HELLO_1,BYE EVERYONE KNOW YES HELLO PT_PRO3 PT_DEM3 RIGHT,BYE(0.82) EVERYONE(0.80) KNOW(0.65) YES(0.60) HELLO(0.60) PT_PRO3(0.57) PT_DEM3(0.53) RIGHT(0.50),HELLO,False
video_1_9_signer_HELLO_1,YES KNOW LOOK PT_PRO1PL PT_DEM3 GO GREAT,YES(0.66) KNOW(0.57) LOOK(0.54) PT_PRO1PL(0.52) PT_DEM3(0.51) GO(0.47) GREAT(0.45),HELLO,False
video_1_10_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.89) HELLO(0.68),HELLO,False
video_1_83_signer_HELLO_1,BYE HELLO NS_POSSUM LOOK NS_SALLY,BYE(0.88) HELLO(0.83) NS_POSSUM(0.81) LOOK(0.52) NS_SALLY(0.45),HELLO,False
video_2_0_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.91) EVERYONE(0.57) HELLO(0.47),HELLO,False
video_2_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_2_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.99) EVERYONE(0.90) BYE(0.89),HELLO,False
video_3_0_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.82) EVERYONE(0.65) HELLO(0.64),HELLO,False
video_3_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_6_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.91) EVERYONE(0.89),HELLO,False
video_4_0_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.90) EVERYONE(0.63) HELLO(0.57),HELLO,False
video_4_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_4_11_signer_HELLO_1,BYE PT_PRO1PL GO READY GREAT HELLO LOOK YES FINISH NS_SALLY,BYE(0.81) PT_PRO1PL(0.62) GO(0.58) READY(0.57) GREAT(0.55) HELLO(0.53) LOOK(0.53) YES(0.52) FINISH(0.48) NS_SALLY(0.46),HELLO,False
video_5_0_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.75) EVERYONE(0.61) HELLO(0.61),HELLO,False
