gloss,precision,recall,f1-score,support
ABOUT,0.0,0.0,0.0,0.0
AGAIN,0.0,0.0,0.0,0.0
ALL,0.0,0.0,0.0,0.0
ALRIGHT,0.0,0.0,0.0,0.0
ALSO,0.0,0.0,0.0,0.0
ALWAYS,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
ANOTHER,0.0,0.0,0.0,0.0
AROUND,0.0,0.0,0.0,0.0
ASK,0.0,0.0,0.0,0.0
AWAY,0.0,0.0,0.0,0.0
BACK,0.0,0.0,0.0,0.0
BALL,0.0,0.0,0.0,0.0
BEAUTIFUL,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BETTER,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BIKE,0.0,0.0,0.0,0.0
BOX,0.0,0.0,0.0,0.0
BREAKFAST,0.0,0.0,0.0,0.0
BRING,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BUTTER,0.0,0.0,0.0,0.0
BUY,0.0,0.0,0.0,0.0
BYE,0.004545454545454545,1.0,0.00904977375565611,1.0
CAN,0.0,0.0,0.0,0.0
CAN-NOT,0.0,0.0,0.0,0.0
CAREFUL,0.0,0.0,0.0,0.0
CARROT,0.0,0.0,0.0,0.0
CHECK,0.0,0.0,0.0,0.0
CHILD,0.0,0.0,0.0,0.0
CHILDREN,0.0,0.0,0.0,0.0
CLIMB,0.0,0.0,0.0,0.0
CLOSE,0.0,0.0,0.0,0.0
COLOR,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
COME-ON,0.0,0.0,0.0,0.0
COOK,0.0,0.0,0.0,0.0
COULD,0.0,0.0,0.0,0.0
DAY,0.0,0.0,0.0,0.0
DELICIOUS,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DOCTOR,0.0,0.0,0.0,0.0
DOOR,0.0,0.0,0.0,0.0
DOWN,0.0,0.0,0.0,0.0
