clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.75) EVERYONE(0.49),HELLO,False
video_1_6_signer_HELLO_1,EVERYONE HELLO NS_POSSUM BYE KNOW YES PT_DEM3,EVERYONE(0.94) HELLO(0.85) NS_POSSUM(0.69) BYE(0.64) KNOW(0.55) YES(0.54) PT_DEM3(0.50),HELLO,False
video_1_9_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.81) EVERYONE(0.66) HELLO(0.63),HELLO,False
video_1_10_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.98) EVERYONE(0.90) HELLO(0.88),HELLO,False
video_1_83_signer_HELLO_1,HELLO BYE NS_POSSUM NS_SALLY,HELLO(0.95) BYE(0.91) NS_POSSUM(0.85) NS_SALLY(0.57),HELLO,False
video_2_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.97) BYE(0.92) HELLO(0.86) NS_POSSUM(0.71),HELLO,False
video_2_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_2_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(0.99) BYE(0.91) EVERYONE(0.82),HELLO,False
video_3_0_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.97) HELLO(0.91) BYE(0.89) NS_POSSUM(0.71),HELLO,False
video_3_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.99) EVERYONE(0.97) BYE(0.97),HELLO,False
video_4_0_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.97) HELLO(0.87) BYE(0.81) NS_POSSUM(0.74),HELLO,False
video_4_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_4_11_signer_HELLO_1,PT_PRO1PL FINISH GO BYE GOOD READY,PT_PRO1PL(0.70) FINISH(0.68) GO(0.64) BYE(0.61) GOOD(0.58) READY(0.51),HELLO,False
video_5_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.97) BYE(0.89) HELLO(0.88) NS_POSSUM(0.72),HELLO,False
video_5_5_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.92) HELLO(0.87),HELLO,False
video_5_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.82) BYE(0.71),HELLO,False
video_5_7_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.94) BYE(0.73),HELLO,False
video_5_17_signer_HELLO_1,BYE EVERYONE KNOW HELLO CAN,BYE(0.80) EVERYONE(0.59) KNOW(0.49) HELLO(0.46) CAN(0.45),HELLO,False
video_6_0_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.99) HELLO(0.97) BYE(0.96),HELLO,False
video_6_5_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.97) HELLO(0.96) EVERYONE(0.94),HELLO,False
video_6_6_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.95) HELLO(0.85) BYE(0.82) NS_POSSUM(0.60),HELLO,False
video_6_12_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(0.99) BYE(0.95) EVERYONE(0.60) NS_POSSUM(0.56),HELLO,False
video_6_38_signer_HELLO_1,HELLO BYE NS_POSSUM EVERYONE,HELLO(1.00) BYE(0.89) NS_POSSUM(0.83) EVERYONE(0.49),HELLO,False
video_7_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.98) BYE(0.97) HELLO(0.90) NS_POSSUM(0.53),HELLO,False
video_7_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_6_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.99) BYE(0.99) HELLO(0.95),HELLO,False
video_7_18_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.97) HELLO(0.91) BYE(0.86) NS_POSSUM(0.65),HELLO,False
video_7_33_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.89) EVERYONE(0.61) BYE(0.57),HELLO,False
video_7_34_signer_HELLO_1,LOOK BYE HELLO,LOOK(0.78) BYE(0.59) HELLO(0.47),HELLO,False
video_1_43_signer_READY_1,YES KNOW GOOD LOOK NS_SALLY PT_PRO1PL,YES(0.68) KNOW(0.62) GOOD(0.55) LOOK(0.51) NS_SALLY(0.50) PT_PRO1PL(0.45),READY,False
video_2_99_signer_READY_1,NS_SALLY LOOK PT_DEM3 HELLO WHAT YES,NS_SALLY(0.91) LOOK(0.84) PT_DEM3(0.60) HELLO(0.58) WHAT(0.51) YES(0.46),READY,False
video_3_101_signer_READY_1,NS_SALLY WHAT NEXT LOOK YES PT_DEM3 READY PT_LOC GREAT,NS_SALLY(0.89) WHAT(0.64) NEXT(0.63) LOOK(0.61) YES(0.60) PT_DEM3(0.55) READY(0.54) PT_LOC(0.46) GREAT(0.45),READY,False
video_7_60_signer_READY_1,NS_SALLY YES LOOK WHAT PT_DEM3,NS_SALLY(0.85) YES(0.76) LOOK(0.60) WHAT(0.52) PT_DEM3(0.46),READY,False
video_7_104_signer_READY_1,YES GOOD GREAT PT_DEM3 LOOK READY PT_PRO1PL WHAT,YES(0.66) GOOD(0.64) GREAT(0.63) PT_DEM3(0.55) LOOK(0.55) READY(0.51) PT_PRO1PL(0.49) WHAT(0.49),READY,False
video_7_119_signer_READY_1,YES GOOD PT_PRO3PL WHAT NEXT RIGHT LOOK FINISH NS_SALLY,YES(0.73) GOOD(0.62) PT_PRO3PL(0.62) WHAT(0.61) NEXT(0.56) RIGHT(0.55) LOOK(0.48) FINISH(0.47) NS_SALLY(0.47),READY,False
video_10_29_signer_READY_1,NS_SALLY YES LOOK WHAT PT_DEM3 GOOD GREAT NEXT VERY,NS_SALLY(0.74) YES(0.69) LOOK(0.67) WHAT(0.63) PT_DEM3(0.58) GOOD(0.55) GREAT(0.53) NEXT(0.49) VERY(0.46),READY,False
video_10_95_signer_READY_1,NS_SALLY HELLO LOOK BYE NS_POSSUM,NS_SALLY(0.91) HELLO(0.83) LOOK(0.73) BYE(0.64) NS_POSSUM(0.55),READY,False
video_11_70_signer_READY_1,READY GOOD PT_PRO1PL FINISH YES ALL LOOK PT_DEM3 NEXT WHAT GO NOW,READY(0.76) GOOD(0.72) PT_PRO1PL(0.69) FINISH(0.67) YES(0.66) ALL(0.65) LOOK(0.53) PT_DEM3(0.53) NEXT(0.52) WHAT(0.51) GO(0.49) NOW(0.47),READY,False
video_1_88_signer_FINISH_1,PT_PRO1PL BYE YES LOOK GO READY,PT_PRO1PL(0.72) BYE(0.71) YES(0.66) LOOK(0.59) GO(0.58) READY(0.54),FINISH,False
video_1_96_signer_TIME_1,FINISH PT_PRO1PL READY BYE GO YES GOOD NOW,FINISH(0.72) PT_PRO1PL(0.66) READY(0.64) BYE(0.62) GO(0.55) YES(0.55) GOOD(0.53) NOW(0.46),TIME,False
video_2_127_signer_TIME_1,LOOK,LOOK(1.00),TIME,False
video_3_123_signer_TIME_1,BYE LOOK,BYE(0.88) LOOK(0.58),TIME,False
video_4_126_signer_TIME_1,BYE PT_PRO1PL GO GOOD FINISH OKAY YES LOOK,BYE(0.66) PT_PRO1PL(0.63) GO(0.58) GOOD(0.52) FINISH(0.52) OKAY(0.51) YES(0.48) LOOK(0.47),TIME,False
video_5_137_signer_TIME_1,GOOD READY FINISH PT_POSS1 PT_PRO2 NOW GO LOOK WHAT MEAN PT_DEM3 PT_PRO1PL NS_POSSUM KNOW THINK,GOOD(0.62) READY(0.60) FINISH(0.58) PT_POSS1(0.57) PT_PRO2(0.56) NOW(0.54) GO(0.50) LOOK(0.50) WHAT(0.49) MEAN(0.48) PT_DEM3(0.48) PT_PRO1PL(0.48) NS_POSSUM(0.48) KNOW(0.47) THINK(0.47),TIME,False
video_6_125_signer_TIME_1,BYE HELLO LOOK,BYE(0.80) HELLO(0.58) LOOK(0.54),TIME,False
video_7_123_signer_TIME_1,PT_PRO1PL YES GO GOOD READY BYE FINISH LOOK GREAT PT_DEM3,PT_PRO1PL(0.60) YES(0.56) GO(0.55) GOOD(0.55) READY(0.53) BYE(0.52) FINISH(0.51) LOOK(0.47) GREAT(0.47) PT_DEM3(0.46),TIME,False
