clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_6_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(0.85) BYE(0.69) EVERYONE(0.69) NS_POSSUM(0.60),HELLO,False
video_1_9_signer_HELLO_1,BYE WATCH LOOK KNOW PT_PRO1PL YES SEE NS_SKIP GO,BYE(0.87) WATCH(0.70) LOOK(0.67) KNOW(0.62) PT_PRO1PL(0.57) YES(0.50) SEE(0.48) NS_SKIP(0.48) GO(0.47),HELLO,False
video_1_10_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.97) BYE(0.97) HELLO(0.93),HELLO,False
video_1_83_signer_HELLO_1,HELLO EVERYONE NS_POSSUM BYE,HELLO(0.93) EVERYONE(0.73) NS_POSSUM(0.66) BYE(0.64),HELLO,False
video_2_0_signer_HELLO_1,HELLO BYE,HELLO(0.98) BYE(0.55),HELLO,False
video_2_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_2_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.99) BYE(0.99),HELLO,False
video_3_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.99) BYE(0.99),HELLO,False
video_4_0_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.92) BYE(0.88),HELLO,False
video_4_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_4_11_signer_HELLO_1,HELLO BYE LOOK EVERYONE,HELLO(0.85) BYE(0.67) LOOK(0.53) EVERYONE(0.53),HELLO,False
video_5_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_5_5_signer_HELLO_1,HELLO BYE,HELLO(0.96) BYE(0.94),HELLO,False
video_5_6_signer_HELLO_1,HELLO EVERYONE,HELLO(1.00) EVERYONE(0.54),HELLO,False
video_5_7_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.95) BYE(0.93),HELLO,False
video_5_17_signer_HELLO_1,WATCH OKAY YES LOOK NS_SALLY PT_PRO1PL OK GO,WATCH(0.84) OKAY(0.74) YES(0.70) LOOK(0.55) NS_SALLY(0.52) PT_PRO1PL(0.48) OK(0.46) GO(0.46),HELLO,False
video_6_0_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.98) HELLO(0.97) BYE(0.96),HELLO,False
video_6_5_signer_HELLO_1,HELLO BYE,HELLO(0.95) BYE(0.94),HELLO,False
video_6_6_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(0.95) BYE(0.95) EVERYONE(0.92) NS_POSSUM(0.56),HELLO,False
video_6_12_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM NS_SALLY,HELLO(1.00) BYE(0.99) EVERYONE(0.90) NS_POSSUM(0.77) NS_SALLY(0.74),HELLO,False
video_6_38_signer_HELLO_1,HELLO BYE EVERYONE NS_SALLY NS_POSSUM,HELLO(1.00) BYE(0.98) EVERYONE(0.87) NS_SALLY(0.79) NS_POSSUM(0.77),HELLO,False
video_7_0_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.72) BYE(0.72),HELLO,False
video_7_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_6_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.97) HELLO(0.95),HELLO,False
video_7_18_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(0.98) BYE(0.98) EVERYONE(0.96),HELLO,False
video_7_33_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.95) BYE(0.78),HELLO,False
video_7_34_signer_HELLO_1,BYE HELLO,BYE(0.99) HELLO(0.98),HELLO,False
video_1_43_signer_READY_1,OKAY OK YES GREAT WATCH LOOK RIGHT PT_PRO1PL NS_SALLY,OKAY(0.86) OK(0.82) YES(0.67) GREAT(0.59) WATCH(0.58) LOOK(0.56) RIGHT(0.52) PT_PRO1PL(0.48) NS_SALLY(0.46),READY,False
video_2_99_signer_READY_1,WHAT PT_DEM3 GREAT NS_SALLY PT_LOC LOOK OKAY ONE NOW,WHAT(0.74) PT_DEM3(0.72) GREAT(0.70) NS_SALLY(0.70) PT_LOC(0.68) LOOK(0.62) OKAY(0.56) ONE(0.56) NOW(0.45),READY,False
video_3_101_signer_READY_1,OKAY WATCH YES LOOK,OKAY(0.83) WATCH(0.81) YES(0.70) LOOK(0.65),READY,False
video_7_60_signer_READY_1,YES NO LOOK WHAT OKAY GREAT RIGHT WHERE,YES(0.85) NO(0.68) LOOK(0.63) WHAT(0.57) OKAY(0.57) GREAT(0.53) RIGHT(0.48) WHERE(0.47),READY,False
