gloss,precision,recall,f1-score,support
ALL,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BYE,0.008403361344537815,1.0,0.016666666666666666,1.0
CAN,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DRAW,0.0,0.0,0.0,0.0
EAT,0.0,0.0,0.0,0.0
EVERYONE,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,1.0
GET,0.0,0.0,0.0,0.0
GO,0.18333333333333332,0.6111111111111112,0.28205128205128205,36.0
GOOD,0.17307692307692307,0.45,0.25,20.0
GREAT,0.0,0.0,0.0,0.0
HAVE,0.0,0.0,0.0,0.0
HELLO,0.358974358974359,0.9333333333333333,0.5185185185185185,30.0
HELP,0.0,0.0,0.0,0.0
HERE,0.0,0.0,0.0,0.0
HOW,0.0,0.0,0.0,0.0
INSIDE,0.0,0.0,0.0,0.0
KNOW,0.3,0.39622641509433965,0.34146341463414637,53.0
LEARN,0.0,0.0,0.0,0.0
LIKE,0.0,0.0,0.0,0.0
LOOK,0.08791208791208792,0.7741935483870968,0.15789473684210525,31.0
LOVE,0.0,0.0,0.0,0.0
LOVELY,0.0,0.0,0.0,0.0
MAKE,0.0,0.0,0.0,0.0
MANY,0.0,0.0,0.0,0.0
MORE,0.0,0.0,0.0,0.0
MUCH,0.0,0.0,0.0,0.0
NEED,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0
NOT,0.0,0.0,0.0,0.0
NOW,0.0,0.0,0.0,0.0
NS_POSSUM,0.0,0.0,0.0,0.0
NS_SALLY,0.0,0.0,0.0,0.0
NS_SKIP,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0
OKAY,0.0,0.0,0.0,0.0
ONE,0.0,0.0,0.0,0.0
PAPER,0.0,0.0,0.0,0.0
PLAY,0.0,0.0,0.0,0.0
PLEASE,0.0,0.0,0.0,0.0
PT_DEM3,0.0,0.0,0.0,0.0
PT_LOC,0.0,0.0,0.0,0.0
PT_POSS1,0.0,0.0,0.0,0.0
PT_POSS2,0.0,0.0,0.0,0.0
PT_PRO1,0.0,0.0,0.0,0.0
PT_PRO1PL,0.0,0.0,0.0,0.0
PT_PRO2,0.0,0.0,0.0,0.0
PT_PRO3,0.0,0.0,0.0,0.0
PT_PRO3PL,0.0,0.0,0.0,0.0
PUT,0.0,0.0,0.0,0.0
READY,0.0,0.0,0.0,36.0
RIGHT,0.0,0.0,0.0,0.0
SAME,0.0,0.0,0.0,0.0
SEE,0.0,0.0,0.0,0.0
SOMETHING,0.0,0.0,0.0,0.0
THANK-YOU,0.0,0.0,0.0,0.0
THAT,0.0,0.0,0.0,0.0
THEN,0.0,0.0,0.0,0.0
THING,0.0,0.0,0.0,0.0
THINK,0.3333333333333333,0.014492753623188406,0.027777777777777776,69.0
TREE,0.0,0.0,0.0,0.0
TWO,0.0,0.0,0.0,0.0
USE,0.0,0.0,0.0,0.0
VERY,0.0,0.0,0.0,0.0
WAIT,0.0,0.0,0.0,0.0
WANT,0.0,0.0,0.0,0.0
WATCH,0.0,0.0,0.0,0.0
WATER,0.0,0.0,0.0,0.0
WELL,0.0,0.0,0.0,0.0
WHAT,0.1794871794871795,0.4117647058823529,0.25,34.0
WHERE,0.0,0.0,0.0,0.0
WHY,0.0,0.0,0.0,0.0
WHY-NOT,0.0,0.0,0.0,0.0
WILL,0.0,0.0,0.0,0.0
YES,0.21292775665399238,0.835820895522388,0.3393939393939394,67.0
micro avg,0.06376811594202898,0.4656084656084656,0.11217335882727852,378.0
macro avg,0.022137931736334295,0.06538485256570856,0.026310437781740196,378.0
weighted avg,0.21913537332214308,0.4656084656084656,0.22982652592551323,378.0
samples avg,0.08824049573072867,0.4656084656084656,0.13315537559235036,378.0
